Field_AT_ID,Field_ID,Table_ID,Table_Name,Field_Name,Field_Type,Redis_Cache,Redis_TTL,Field_Details,One_Or_Many,Registry_Created,Is_Linked_Field,Linked_Table,Linked_Table_ID
recYUK4tbKKbzuGft,fldtDyutuFOQTVUxG,tblcAWqmv1jujvStB,Chatbase_Conversations,AT_Chatbase_Conversation_ID,formula,checked,3600,,,5/6/2025 8:42pm,,,
recHXKI0kNEnEbGX8,fldfvTKlJ1S1i4SrT,tblcAWqmv1jujvStB,Chatbase_Conversations,Start_Time,dateTime,checked,3600,,,5/6/2025 8:42pm,,,
rec4KI21G4AlLVbD4,fld72Py98xoiYrdjN,tblcAWqmv1jujvStB,Chatbase_Conversations,Created_Time,createdTime,checked,3600,,,5/6/2025 8:42pm,,,
recoIjTMZRFNAiqDv,fldpPcxedyIPiWozB,tblcAWqmv1jujvStB,Chatbase_Conversations,Chatbase_Messages,multipleRecordLinks,checked,3600,,,5/6/2025 8:42pm,checked,Chatbase_Messages,tblBdiDXYoscDkQGe
rec97cfDiDIQE65Ig,fld3SBpu7sXCAHO7O,tblcAWqmv1jujvStB,Chatbase_Conversations,Org_ID,singleLineText,checked,3600,,,5/6/2025 8:42pm,,,
reclXpEDJTiJTx8Ab,fld7telhfmcKLSPau,tblcAWqmv1jujvStB,Chatbase_Conversations,Chatbase_Assistant_ID,singleLineText,checked,3600,,,5/6/2025 8:42pm,,,
recj4CjbL1bkvu1LL,fldS3F2zIVHLrms0N,tblcAWqmv1jujvStB,Chatbase_Conversations,IE_All_Users,multipleRecordLinks,checked,3600,,,5/6/2025 8:42pm,checked,IE_All_Users,tblbiZ0r6hIVfAWsY
recVvToBosP8bzaBO,fldkQ75E5je25yDU8,tblcAWqmv1jujvStB,Chatbase_Conversations,Chatbase_Conversation_ID,singleLineText,checked,3600,,,5/6/2025 8:46pm,,,
recQoSkkdhx9WgxWw,fldJttifyGnKpnB7L,tblBdiDXYoscDkQGe,Chatbase_Messages,Chatbase_Conversation_ID,multipleRecordLinks,checked,3600,,,5/6/2025 8:42pm,checked,Chatbase_Conversations,tblcAWqmv1jujvStB
recCotFFHZv1IIPtP,fldE8fXWco1JCTQEw,tblBdiDXYoscDkQGe,Chatbase_Messages,Start_Time,dateTime,checked,3600,,,5/6/2025 8:42pm,,,
recv90kAe8cIvoRq1,fldwFbLKBUx0igbwq,tblBdiDXYoscDkQGe,Chatbase_Messages,Created_Time,createdTime,checked,3600,,,5/6/2025 8:42pm,,,
recOvED8arYSCxZ6q,fldsmZALrm9kNoqPS,tblBdiDXYoscDkQGe,Chatbase_Messages,Message_Tags,multipleRecordLinks,checked,3600,,,5/6/2025 8:42pm,checked,IE_Tags,tblvyc6ltQIO5bwlI
recUCF7tPoPr4KzyB,fldB1SgXoapBeuybM,tblBdiDXYoscDkQGe,Chatbase_Messages,Last_Updated,lastModifiedTime,checked,3600,,,5/6/2025 8:42pm,,,
recXNxMJpzElR3RrA,fldbyPhxTqvHlZjvJ,tblBdiDXYoscDkQGe,Chatbase_Messages,Message_Text,multilineText,checked,3600,,,5/6/2025 8:42pm,,,
recuTv66yEPChwoEz,fldpFs3U7V3URtqrc,tblBdiDXYoscDkQGe,Chatbase_Messages,Log_This_Thread,checkbox,checked,3600,,,5/6/2025 8:42pm,,,
recXoiKYPMVb3nCT0,fldHyKu5FWzBNcGuK,tblBdiDXYoscDkQGe,Chatbase_Messages,Role,singleSelect,checked,3600,,,5/6/2025 8:42pm,,,
recnGOYzTzz9kC3eP,fldB7BY8myFbKZuWD,tblBdiDXYoscDkQGe,Chatbase_Messages,Message_Attachment,multipleAttachments,checked,3600,,,5/6/2025 8:42pm,,,
recTcBuqwlQkUko6B,fldF0R3Cr4n5eg6vm,tblBdiDXYoscDkQGe,Chatbase_Messages,Chatbase_Conversations,multipleRecordLinks,checked,3600,,,5/6/2025 8:42pm,checked,Chatbase_Conversations,tblcAWqmv1jujvStB
